skills,code
Speed of Closure,A.01.c.04
Spatial Perception,A.01.d.02
Visualization,A.01.d.02
Extent Flexibility,A.02.b.04
Steady motion,A.03.a.01
Stabilize motions,A.03.a.01
Arm-hand stability,A.03.a.01
Wrist-Finger Speed,A.03.c.03
Wrist-finger gesture,A.03.c.03
Sound perception,A.04.a.01
Effective listening,A.04.a.01
Sound attention,A.04.a.01
Sound sensitivity,A.04.a.02
Distance vision,A.04.b.01
Visual Colour Discrimination,A.04.c.01
Tactile perception,A.04.c.04
Soft Skills,A.04.c.04
Social skills,A.04.c.04
Behavioural skills,A.04.c.04
Personal qualities,A.04.c.04
Personal traits,A.04.c.04
Personal characteristics,A.04.c.04
Individual characteristics,A.04.c.04
Collaborative,B.01.b.02
Cooperation,B.01.b.02
Intellectual curiosity,B.02.c.01
Lifelong learning,B.02.c.01
Showing initiative,B.03.a.03
Dependability,B.04.a.01
Accountable,B.04.a.03
Sense of Responsibility,B.04.a.03
Innovation,B.05.a.02
RIASEC codes,B.05.b.03
Core skills,C.01.a.06
Basic skills,C.01.a.06
Fundamental skills,C.01.a.06
Basis skills,C.01.a.06
Literacy,F.01.b.01
Mathematic,F.01.c.01
Digital proficiency,F.01.c.02
Digital skills,F.01.c.02
Digital competencies,F.01.c.02
Digitally fluent,F.01.c.02
Digital capabilities,F.01.c.02
Digital citizenship,F.01.c.02
Digital capacity,F.01.c.02
Digital acumen,F.01.c.02
Metacognitives,F.01.c.02
Meta-cognitive,F.01.c.02
Metacognitive,F.01.c.02
Critical mindset,F.02.a.01
Learning Strategies,F.02.a.02
Operations Analysis,F.02.b.02
Problem solving process,F.02.b.05
Problem-solving,F.02.b.05
Hard skills,F.02.b.05
Equipment Selection,F.03.a.01
Equipment Maintenance,F.03.a.02
Operation Monitoring,F.03.a.05
Quality Control Analysis,F.03.a.08
Technology Design,F.03.a.09
Cultural intelligence,F.05.a.06
Worldview-inclusive attitude,F.05.a.06
Facilitator,F.05.a.07
Letters and Memos,J.04.b.03
